ISO3 Alpha-code,Year,darmani*
CYP,2014,42.52
GRD,2014,43.85
BRA,2014,44.05
MHL,2014,44.54
LKA,2014,44.73
BHS,2014,44.98
SGP,2014,45.04
MUS,2014,45.07
VEN,2014,45.27
NAM,2014,46.18
BRB,2014,46.95
LBN,2014,47.48
PRY,2014,47.71
CHL,2014,47.74
COG,2014,47.99
UKR,2014,48.0
MDA,2014,49.35
ZMB,2014,49.46
GNB,2014,5.98
TTO,2014,50.27
IRN,2014,50.37
USA,2014,50.81
DOM,2014,51.29
MEX,2014,52.08
NIC,2014,52.13
UZB,2014,52.2
AGO,2014,54.15
TLS,2014,54.27
LSO,2014,54.3
SLV,2014,54.51
MYS,2014,54.74
GUY,2014,55.1
ZAF,2014,55.56
GRC,2014,56.87
CPV,2014,57.13
MNG,2014,57.15
KOR,2014,57.32
TON,2014,57.73
TUN,2014,58.13
BGR,2014,58.24
SRB,2014,58.26
CHN,2014,58.42
ATG,2014,59.16
JAM,2014,59.26
DJI,2014,59.48
PER,2014,59.55
LVA,2014,59.67
GAB,2014,59.88
SLE,2014,6.78
SLB,2014,60.49
VCT,2014,60.65
MNE,2014,60.7
DMA,2014,61.03
ECU,2014,61.19
PAN,2014,61.25
FJI,2014,61.33
MLT,2014,61.61
PRT,2014,61.74
PNG,2014,61.77
RUS,2014,61.79
MDV,2014,61.97
BLR,2014,62.6
BOL,2014,62.62
BLZ,2014,62.84
ISR,2014,63.13
MKD,2014,63.89
NIU,2014,64.0
JOR,2014,64.48
BHR,2014,64.98
ARG,2014,65.42
LTU,2014,66.57
HUN,2014,66.72
NLD,2014,67.83
BWA,2014,67.86
