Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Estimates,WORLD,,900,,,1.0,World,0,1970.0,3657599.057,3695390.336,1849178.862,1846211.474,28.338,100.161,20.32,75583.057,20.451,75582.558,2.045,33.895,124117.185,15283.482,33.583,4.828,1.871,28.714,105.5,48534.128,25451.362,23082.766,13.132,56.112,54.172,58.074,52.325,50.23,54.428,12.956,11.699,14.024,5.888,5.365,6.223,12176.5,98.547,115495.83,17995.755,147.36,248.823,258.059,239.264,398.03,431.238,364.501,157.768,175.25,139.918,272.874,310.326,235.338,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1971.0,3733181.615,3770163.092,1886958.546,1883204.546,28.912,100.199,20.332,73963.464,19.619,73962.954,1.962,35.329,123647.417,15668.857,32.797,4.682,1.817,28.629,105.5,49683.953,26355.96,23327.993,13.178,55.892,53.64,58.222,52.008,49.529,54.56,12.991,11.7,14.092,5.918,5.37,6.269,12101.104,97.708,115101.952,18022.37,146.701,253.37,268.406,237.656,403.772,443.625,362.63,165.113,190.879,138.294,280.375,325.92,233.612,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1972.0,3807144.569,3844800.885,1924815.839,1919985.046,29.484,100.252,20.379,75313.23,19.589,75312.632,1.959,35.383,123275.037,15789.657,32.064,4.547,1.784,28.593,105.5,47961.807,25156.942,22804.865,12.475,57.123,55.134,59.127,52.909,50.767,55.054,13.204,11.916,14.293,6.009,5.453,6.361,11721.442,95.02,114965.636,17299.091,140.763,237.462,246.934,227.692,383.459,416.658,349.872,150.481,168.15,132.324,262.501,299.647,225.141,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1973.0,3882457.201,3920251.504,1963205.826,1957045.677,30.063,100.315,20.457,75589.116,19.282,75588.605,1.928,35.952,123269.476,15983.09,31.445,4.421,1.744,28.512,105.5,47680.36,25003.265,22677.095,12.163,57.633,55.633,59.644,53.232,51.084,55.38,13.322,12.018,14.424,6.029,5.459,6.389,11511.979,93.36,115082.372,16954.591,137.765,231.871,241.222,222.234,375.675,408.46,342.474,146.439,163.733,128.597,256.443,292.955,219.667,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1974.0,3958045.806,3995517.077,2001478.755,1994038.322,30.64,100.373,20.562,74943.073,18.757,74942.542,1.876,36.948,122436.994,16126.424,30.645,4.265,1.69,28.415,105.5,47493.921,24934.754,22559.167,11.888,58.042,56.01,60.088,53.507,51.327,55.687,13.468,12.132,14.596,6.117,5.522,6.49,11289.039,91.99,114408.98,16629.735,135.487,227.777,237.149,218.11,369.908,402.739,336.573,143.576,160.77,125.762,251.986,288.414,215.198,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1975.0,4032988.348,4069437.231,2038952.421,2030484.809,31.207,100.417,20.692,72898.243,17.916,72897.765,1.791,38.702,120491.005,16016.213,29.613,4.084,1.624,28.373,105.6,47592.762,25075.383,22517.379,11.697,58.275,56.15,60.429,53.603,51.329,55.892,13.552,12.191,14.701,6.165,5.543,6.554,10978.248,90.734,112689.885,16219.939,133.471,225.734,236.429,214.648,366.982,401.229,331.936,143.276,162.023,123.722,250.537,288.411,212.002,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1976.0,4105886.113,4142505.882,2075816.86,2066689.022,31.767,100.442,20.84,73240.167,17.681,73239.539,1.768,39.205,120647.815,16056.132,29.125,3.977,1.589,28.306,105.6,47407.648,24939.127,22468.521,11.444,58.711,56.613,60.829,53.837,51.623,56.054,13.652,12.278,14.812,6.198,5.565,6.592,10698.926,88.722,112999.395,15734.227,130.07,220.991,230.765,210.863,360.594,393.736,326.733,140.547,157.626,122.734,246.106,282.304,209.376,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1977.0,4179125.652,4215772.49,2112756.766,2103015.723,32.329,100.463,21.007,73294.319,17.387,73293.675,1.739,39.859,120040.242,15763.595,28.476,3.852,1.55,28.25,105.6,46745.923,24652.766,22093.157,11.089,59.365,57.202,61.553,54.272,51.991,56.559,13.819,12.405,15.012,6.318,5.648,6.734,10444.78,86.878,112581.51,15291.863,126.951,213.307,223.229,203.017,350.586,384.599,315.758,134.641,152.124,116.376,238.226,275.259,200.567,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1978.0,4252419.327,4289657.708,2149991.443,2139666.265,32.895,100.483,21.177,74477.154,17.361,74476.762,1.736,39.928,121337.099,15833.293,28.284,3.79,1.534,28.187,105.6,46859.945,24773.353,22086.592,10.923,59.74,57.51,62.007,54.438,52.083,56.812,13.862,12.427,15.074,6.327,5.637,6.755,10279.201,84.949,113957.669,14988.035,124.092,208.623,219.206,197.628,344.768,380.058,308.48,132.114,150.66,112.7,234.533,272.949,195.289,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1979.0,4326896.089,4365582.871,2188175.857,2177407.013,33.478,100.495,21.345,77374.062,17.72,77373.564,1.772,39.117,124287.659,16330.754,28.465,3.776,1.537,28.091,105.7,46913.597,24834.335,22079.262,10.745,60.204,57.929,62.52,54.669,52.269,57.092,13.951,12.499,15.177,6.385,5.673,6.827,10204.809,82.591,116926.612,14771.373,120.672,203.192,214.013,191.937,338.124,374.107,301.004,129.082,148.101,109.165,230.307,269.388,190.249,0.0,0.0
