Time,Time Code,Country Name,Country Code,CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],"Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Net migration [SM.POP.NETM],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Gini index [SI.POV.GINI],Net primary income (Net income from abroad) (constant LCU) [NY.GSR.NFCY.KN],Population growth (annual %) [SP.POP.GROW],"Secondary education, teachers [SE.SEC.TCHR]",Lending interest rate (%) [FR.INR.LEND]
2005,YR2005,Cambodia,KHM,0.116231862319312,3.37518283809934,4.07010374510196,..,3.3885600566864,..,..,..,20.2346788923861,11.6356627582735,..,..,..,64.293,58.22373309854,2124.83745733056,697.746758239126,6.02538390549261,11.2819167818772,..,136.831930064782,6.61525912001587,-11435,..,64.7,..,..,1.75317594902836,..,..
2005,YR2005,Cameroon,CMR,0.113192503726854,..,10.6901540882531,..,5.85059976577759,27.0610103607178,4.40000009536743,..,18.6709254887878,18.1641569371561,64.82092,33.94488,2.65651988983154,54.362,84.3637400469344,3228.36116059091,1250.05887854373,1.2486084006088,-0.527954206720594,..,44.9976813491601,2.01353950175986,-27782,..,127.5,..,..,2.73315981250508,48497,..
2005,YR2005,Canada,CAN,0.468725138192676,2.06439975882588,19.0759109803014,..,..,101.391189575195,6.76000022888184,12.3999996185303,22.6320421110981,26.618049161035,..,..,4.76588010787964,80.1926829268293,25.5193053325021,44680.7964889693,40989.5268239475,2.17816380917594,2.23405942944252,126.346747568222,69.7591330167357,2.21355203439764,204710,..,6.1,..,-34906229000,0.944466927450734,..,4.41666666666667
2005,YR2005,Cayman Islands,CYM,..,6.0900103530176,..,..,..,80.801139831543,3.53999996185303,9.77999973297119,..,..,..,19.71134,..,..,25.412719124071,..,..,..,..,..,..,..,985,..,..,..,..,3.13242221135563,275,..
2005,YR2005,Central African Republic,CAF,0.0730321254450921,..,8.70797373464736,..,..,..,..,..,9.86481735599986,1.74234210735226,..,..,1.65222001075745,46.433,86.7176386752228,985.324815965559,436.10026362537,0.754917642922758,-1.3381825936235,..,35.0709368656226,2.8835207335902,-13609,..,160.8,..,..,2.25132803027483,..,..
2005,YR2005,Chad,TCD,0.0307409480728411,..,4.15740418374382,..,1.4206999540329,15.6400203704834,..,..,20.7043067306768,30.8121100840497,259.03462,24.75466,1.69476997852325,48.312,98.8362848851573,1632.95423350515,682.353871077277,-1.49402815217449,12.7411606362719,..,85.8467450268875,7.89036567462992,19281,..,166.9,..,..,3.99174947439079,7312,..
2005,YR2005,Channel Islands,CHI,..,0.659308780674341,..,..,..,..,..,..,..,..,..,..,..,80.344,24.3201054866639,..,..,..,0.554006145421553,6.08725240814463,..,..,817,..,..,..,..,0.815852624411776,..,..
2005,YR2005,Chile,CHL,0.272779197823615,3.55935373753461,10.9536305505373,..,49.368839263916,93.4967498779297,9.34000015258789,23.4200000762939,23.2677008692903,31.5563106531011,11.11074,12.63158,3.26283001899719,78.016,35.8293018471428,18415.7549895934,10214.7325530973,6.10081312075264,4.80751806690036,111.591704774505,72.0625342381535,3.05257621387848,14336,..,9.1,..,..,0.97751001174206,65813,6.67787900981346
2005,YR2005,China,CHN,0.883572473636911,1.56074306037803,14.7976625422492,0.698,19.0869998931885,..,4.19999980926514,..,40.3461495468573,45.6154591020163,..,..,2.39000010490417,74.111,28.1521553151672,5334.64663937839,3390.7101702332,4.55425403392961,10.7413751265397,17.5791008668567,62.2078928661672,1.77641407667574,-519752,..,24,40.9,..,0.588124989556992,..,5.58
2005,YR2005,Colombia,COL,0.162272655859497,42.46650308313,13.9561720687186,..,30.69215965271,82.8621978759766,11.0600004196167,22.6000003814697,21.6562413080915,18.1756312914625,19.41872,14.4607,4.02098989486694,73.081,46.5519227288434,10150.7079222393,4447.40592615284,7.02889303328147,3.40689564779737,34.6800507155774,37.4226974949549,5.05101962689697,-41348,..,21.5,53.9,..,1.36565233876962,164194,14.5608333333333
2005,YR2005,Comoros,COM,0.12231249368322,..,11.0450612819511,..,..,..,..,..,18.042313166434,-0.0425434813717565,..,..,..,59.604,87.8644672313865,2905.68918263989,1219.9911594123,0.0854737277199342,0.837129282895191,..,35.7574093340398,3.01332395058121,-2717,..,96.7,..,..,1.96439041104988,..,11
2005,YR2005,"Congo, Dem. Rep.",COD,0.0777102949860691,..,5.39983227705503,..,..,..,2.84999990463257,4.76000022888184,11.7799002304206,5.35366109030496,..,..,..,53.927,90.7686640355323,754.66444325739,352.321214972839,1.50445259445879,2.87952826492376,..,52.3146046950079,21.3168167229341,20379,..,136.1,..,..,3.11546176922533,..,..
2005,YR2005,"Congo, Rep.",COG,0.272530093699251,..,12.5058288454194,..,..,..,19.7999992370605,40.0400009155273,25.9379984821473,56.3952737225809,..,..,1.6810200214386,58.126,73.9877525619541,4571.79311665503,2142.70597550305,12.0498464301915,3.94682345956284,..,119.552892262402,3.09449011456182,38337,..,86.4,47.3,..,3.59877196603076,..,..
2005,YR2005,Costa Rica,CRI,0.148659743937687,7.81705022326429,13.5128811924967,..,..,81.5925369262695,6.57000017166138,14.960000038147,18.9641457289161,16.6705265590345,..,..,..,78.505,41.5807926963086,14049.909396661,8545.74679419982,7.62843539507747,2.45679896844587,7.53588614603866,89.2226638923224,13.7982949108987,7022,..,11.3,47.5,..,1.47252758666781,..,24.6558333333333
2005,YR2005,Cote d'Ivoire,CIV,0.103113694180916,..,..,..,..,..,..,..,13.8421414470655,14.7791658572509,..,..,2.91944003105164,51.824,86.7389138525116,3391.71181608324,1514.62055304219,1.45218118572509,-1.2682650551713,9.70344906707545,62.8209360397849,3.8858303988648,-117468,..,125.6,..,..,2.26751371599435,..,7.04916666666667
2005,YR2005,Croatia,HRV,0.322005487517026,1.55319723366436,19.3041338007014,..,44.7640914916992,93.171028137207,12.6000003814697,32.2599983215332,26.7469402928218,18.0477756119482,..,..,..,75.2446341463415,23.9700080434869,23797.3017979685,11408.5760540598,3.95925571214565,4.12872879857234,28.1840565653612,81.4378271809087,3.31717824448043,-3834,..,6.7,..,..,0.128732789322745,39472,11.1911166666667
2005,YR2005,Cuba,CUB,..,6.07374485263443,33.6483604954105,..,62.1930389404297,93.052978515625,1.95000004768372,..,10.774593517397,13.449503901456,55.5874,47.773,10.5577802658081,77.047,27.7637906512185,..,5189.95003331116,..,10.995788111602,..,39.3613744331974,..,-11973,..,7.4,..,..,0.185302193413535,84827,..
2005,YR2005,Curacao,CUW,..,19.9790987889592,16.0737660531258,..,..,..,..,..,..,18.9949859904953,..,..,..,..,35.5800353298735,28067.0789929784,21112.3220054707,..,-1.85843997498654,..,134.911459782692,4.1171171171171,1460,..,..,..,..,2.55007380740239,..,..
2005,YR2005,Cyprus,CYP,0.385286931229524,1.94617464776672,16.5136248030502,..,33.2208213806152,96.5432815551758,5.48000001907349,14.6000003814697,22.4482479311924,21.9153956206275,52.86496,32.41409,6.28667020797729,78.101,28.5203678425174,37730.06640625,25631.154296875,6.30362711595489,3.35377251789228,..,111.917072822542,2.56016132330235,13237,..,4.5,30.3,..,1.78801171115289,5694,..
2005,YR2005,Czechia,CZE,0.531821576619062,1.05281987567952,20.3168309237792,..,48.3493614196777,95.6708526611328,7.92999982833862,19.2700004577637,29.5512145266574,31.879707852536,24.82194,20.9006,3.86591005325317,75.9243902439025,20.6498922528604,30384.4466487841,14978.4131869153,10.0115335790166,6.45426173686403,25.4378933697062,121.297960403591,1.85709789109223,24895,..,4.4,26.9,-175604093000,0.138325980046718,93330,5.77666666666667
2005,YR2005,Denmark,DNK,0.271242173960641,..,24.4986889118824,..,80.37451171875,124.099716186523,4.82999992370605,8.60999965667725,22.2064484414116,27.7109417807115,54.10622,34.25592,8.08557033538818,77.8439024390244,28.2022956386876,51483.273786293,51835.8327062445,4.857700582033,2.05511051582938,..,89.3997408561776,1.81781458291257,11693,..,5,25.2,14885290000,0.275481733409308,..,..
2005,YR2005,Djibouti,DJI,..,..,..,..,2.29906988143921,22.9300403594971,..,..,..,..,..,..,8.36588954925537,58.316,65.3266973471162,..,..,3.13326292887826,..,..,..,3.104966401483,-3779,..,88.7,..,..,1.51442896223044,..,..
2005,YR2005,Dominica,DMA,0.293760863214208,11.3346557098328,..,..,..,103.231147766113,..,..,..,..,..,..,..,..,43.0286284798811,10409.9820860605,6665.10597083414,5.28078678990128,0.50929171490175,..,..,1.68190079877556,-314,..,19.7,..,..,0.145721639216111,496,9.91817590459821
2005,YR2005,Dominican Republic,DOM,0.245747152776646,26.3156101253322,8.08939077915312,..,..,71.1479797363281,6.59000015258789,13.6599998474121,24.7730711459319,19.781788713037,..,4.59898,..,70.875,53.2959731257983,10215.4993710392,4612.80864638902,3.12598087506668,7.97583136812364,..,61.6535587358027,4.19020260472054,-30883,..,36.4,50,..,1.33615456062027,30583,24.1091666666667
